parameter,case,value,heating_eui,cooling_eui,total_hvac_eui,delta_heating_eui,delta_cooling_eui,delta_total_hvac_eui
baseline,baseline,,32.85099280681262,0.0,32.85099280681262,0.0,0.0,0.0
_alpha,lower,9.6,32.829434453512036,0.0,32.829434453512036,-0.021558353300584088,0.0,-0.021558353300584088
_alpha,upper,14.4,32.86679060017778,0.0,32.86679060017778,0.015797793365159407,0.0,0.015797793365159407
_beta,lower,0.016,32.87277212313642,0.0,32.87277212313642,0.021779316323801368,0.0,0.021779316323801368
_beta,upper,0.024,32.829213490488826,0.0,32.829213490488826,-0.021779316323794262,0.0,-0.021779316323794262
u_walls,lower,0.152,32.42419296400453,0.0,32.42419296400453,-0.42679984280808725,0.0,-0.42679984280808725
u_walls,upper,0.228,33.276518894360805,0.0,33.276518894360805,0.4255260875481852,0.0,0.4255260875481852
u_windows,lower,1.128,31.9224623906774,0.0,31.9224623906774,-0.9285304161352208,0.0,-0.9285304161352208
u_windows,upper,1.692,33.777815678276674,0.0,33.777815678276674,0.9268228714640543,0.0,0.9268228714640543
thermal_capacitance_per_floor_area,lower,80000.0,32.77030317636132,0.0,32.77030317636132,-0.08068963045130317,0.0,-0.08068963045130317
thermal_capacitance_per_floor_area,upper,370000.0,33.060893922793376,0.0,33.060893922793376,0.209901115980756,0.0,0.209901115980756
infl_rate_m3ph_m2,lower,3.2,29.829368277906067,0.0,29.829368277906067,-3.0216245289065533,0.0,-3.0216245289065533
infl_rate_m3ph_m2,upper,4.8,35.87896209309723,0.0,35.87896209309723,3.027969286284609,0.0,3.027969286284609
gain_per_person,lower,80.0,33.28844030545654,0.0,33.28844030545654,0.43744749864391963,0.0,0.43744749864391963
gain_per_person,upper,120.0,32.4135453081687,0.0,32.4135453081687,-0.43744749864391963,0.0,-0.43744749864391963
appliance_gains,lower,9.416,36.14801777213421,0.0,36.14801777213421,3.29702496532159,0.0,3.29702496532159
appliance_gains,upper,14.124,29.577282401906878,0.0,29.577282401906878,-3.273710404905742,0.0,-3.273710404905742
max_occupancy,lower,692.0,31.921788649133724,0.0,31.921788649133724,-0.9292041576788961,0.0,-0.9292041576788961
max_occupancy,upper,1038.0,33.78063780019395,0.0,33.78063780019395,0.9296449933813307,0.0,0.9296449933813307
fresh_air_lps,lower,9.6,31.484647058982862,0.0,31.484647058982862,-1.366345747829758,0.0,-1.366345747829758
fresh_air_lps,upper,14.4,34.21835528198664,0.0,34.21835528198664,1.3673624751740192,0.0,1.3673624751740192
atrium_ach,lower,1.6,31.172304999666785,0.0,31.172304999666785,-1.6786878071458347,0.0,-1.6786878071458347
atrium_ach,upper,2.4,34.53136168869694,0.0,34.53136168869694,1.6803688818843199,0.0,1.6803688818843199
window_opening_ach,lower,0.4,30.092732666342563,0.0,30.092732666342563,-2.758260140470057,0.0,-2.758260140470057
window_opening_ach,upper,0.6,35.61421497569448,0.0,35.61421497569448,2.7632221688818603,0.0,2.7632221688818603
unoccupied_ach_fraction,lower,0.4,32.85099280681262,0.0,32.85099280681262,0.0,0.0,0.0
unoccupied_ach_fraction,upper,0.6,32.85099280681262,0.0,32.85099280681262,0.0,0.0,0.0
occupancy_threshold_fraction,lower,0.08,32.85099280681262,0.0,32.85099280681262,0.0,0.0,0.0
occupancy_threshold_fraction,upper,0.12,32.85099280681262,0.0,32.85099280681262,0.0,0.0,0.0
t_set_heating,lower,16.8,27.932227624670546,0.0,27.932227624670546,-4.918765182142074,0.0,-4.918765182142074
t_set_heating,upper,25.2,39.076761733417555,0.0,39.076761733417555,6.225768926604935,0.0,6.225768926604935
t_weekend_heating,lower,16.8,31.140231088452396,0.0,31.140231088452396,-1.7107617183602244,0.0,-1.7107617183602244
t_weekend_heating,upper,25.2,35.08844952289732,0.0,35.08844952289732,2.2374567160847008,0.0,2.2374567160847008
t_setback_heating,lower,14.4,28.76496895970945,0.0,28.76496895970945,-4.086023847103171,0.0,-4.086023847103171
t_setback_heating,upper,21.6,39.77139202173758,0.0,39.77139202173758,6.920399214924963,0.0,6.920399214924963
t_set_cooling,lower,22.4,32.85099280681262,0.0,32.85099280681262,0.0,0.0,0.0
t_set_cooling,upper,33.6,32.85099280681262,0.0,32.85099280681262,0.0,0.0,0.0
lighting_load,lower,3.4,32.85099280681262,0.0,32.85099280681262,0.0,0.0,0.0
lighting_load,upper,5.1,32.85099280681262,0.0,32.85099280681262,0.0,0.0,0.0
ventilation_efficiency,lower,0.6,36.958318361125976,0.0,36.958318361125976,4.1073255543133556,0.0,4.1073255543133556
ventilation_efficiency,upper,0.9,28.75689386828973,0.0,28.75689386828973,-4.09409893852289,0.0,-4.09409893852289
