,t_set_heating,window_opening_ach,infl_rate_m3ph_m2,atrium_ach
sample_027,21.023231155083593,0.11641554905420504,3.7110127699571245,2.0272775843815487
sample_037,21.58028361288902,0.08866512168454055,3.653368620053149,1.9847932759752847
sample_001,20.918734614901624,0.09280560780123975,3.8628280416017726,1.8930263197094064
sample_038,21.16391429666797,0.04489193960059835,4.223474161516113,2.1710383922816026
sample_018,20.891764127370365,0.11281641305383819,3.8157083065436095,2.195914713562754
sample_007,20.393269732807255,0.16402680646074014,3.7506655799254593,1.9695619623421279
sample_002,22.0401113784718,0.08012188824181622,3.6047772059601932,2.0421393569472306
sample_012,20.597612720853505,0.155976178212516,4.112250432419397,1.8871167189606977
sample_022,21.312615232320944,0.10454976069612179,4.325552812988072,1.805381227697486
sample_026,20.0645990274757,0.13650146433094626,3.91468260077081,2.080308236226523
