sample_id,freq,n,rmse,cvrmse,nmbe,sim_eui,meter_eui,bias_eui
sample_027,daily,365,0.08392853506077516,60.47381414546549,-11.113842006433968,45.04203748408123,50.6564960885305,-5.6144586044492755
sample_037,daily,365,0.08400834045002806,60.53131707071007,-11.02165466150452,45.08860842072589,50.6564960885305,-5.567887667804612
sample_001,daily,365,0.08409786032713226,60.59581966695345,-16.050745706933824,42.54802673203324,50.6564960885305,-8.10846935649726
sample_038,daily,365,0.08458741454522484,60.94856275698382,-6.045511122369798,47.602442241118126,50.6564960885305,-3.0540538474123764
sample_018,daily,365,0.08468132404168179,61.0162282468094,-6.989519288232458,47.12555092248775,50.6564960885305,-3.5309451660427555
sample_007,daily,365,0.0852772981972938,61.44565109204175,-11.971260883133189,44.60888909245264,50.6564960885305,-6.04760699607786
sample_002,daily,365,0.08538156342147457,61.520778291442745,-6.213567608013426,47.51754395110203,50.6564960885305,-3.1389521374284755
sample_012,daily,365,0.08590421405111907,61.89736864914701,-4.983021900278142,48.13918747752277,50.6564960885305,-2.517308611007735
sample_022,daily,365,0.08601687079044952,61.97854226562405,-1.1489865364062704,50.07605438871256,50.6564960885305,-0.5804416998179391
sample_026,daily,365,0.08654337608276033,62.35791005955436,-14.139541535491848,43.5135233351881,50.6564960885305,-7.142972753342406
